acopio,anio,mes,fecha,orig_mes,orig_ytd,equiv_mes,equiv_ytd
LAS VARILLAS,2019,7,2019-07-01,24862,129747,4265.610000000001,22170.6675
LAS VARILLAS,2019,8,2019-08-01,31592,161339,9294.719999999998,31465.387499999997
LAS VARILLAS,2019,9,2019-09-01,14344,175683,3166.1100000000006,34631.4975
LAS VARILLAS,2019,10,2019-10-01,18253,193936,2654.959999999999,37286.4575
LAS VARILLAS,2019,11,2019-11-01,15367.99999999997,209303.99999999997,5227.330000000002,42513.7875
LAS VARILLAS,2019,12,2019-12-01,9191.00000000003,218495,1690.6800000000003,44204.4675
LAS VARILLAS,2020,1,2020-01-01,60296,60296,682.46,682.46
LAS VARILLAS,2020,2,2020-02-01,4957,65253,1384.4499999999998,2066.91
LAS VARILLAS,2020,3,2020-03-01,17207,82460,1462.67,3529.58
LAS VARILLAS,2020,4,2020-04-01,25449,107909,10168.02,13697.6
LAS VARILLAS,2020,5,2020-05-01,28885,136794,1912.2458700000007,15609.845870000001
LAS VARILLAS,2020,6,2020-06-01,13538,150332,8120.984999999997,23730.830869999998
LAS VARILLAS,2020,7,2020-07-01,19093,169425,2682.3600000000006,26413.19087
LAS VARILLAS,2020,8,2020-08-01,7235,176660,4308.705000000002,30721.89587
LAS VARILLAS,2020,9,2020-09-01,8467,185127,5291.590000000004,36013.485870000004
LAS VARILLAS,2020,10,2020-10-01,6516,191643,4003.539499999999,40017.02537
LAS VARILLAS,2020,11,2020-11-01,4892,196535,4090.9300000000003,44107.95537
LAS VARILLAS,2020,12,2020-12-01,-5783,190752,1304.3600000000006,45412.315370000004
LAS VARILLAS,2021,1,2021-01-01,63532,63532,1614.535,1614.535
LAS VARILLAS,2021,2,2021-02-01,6152,69684,3143.8,4758.335
LAS VARILLAS,2021,3,2021-03-01,10560,80244,142.35999999999967,4900.695
LAS VARILLAS,2021,4,2021-04-01,21044,101288,5644.6900000000005,10545.385
LAS VARILLAS,2021,5,2021-05-01,20875,122163,4105.619999999997,14651.004999999997
LAS VARILLAS,2021,6,2021-06-01,12107,134270,3513.66,18164.664999999997
LAS VARILLAS,2021,7,2021-07-01,26927,161197,13788.989999999998,31953.654999999995
LAS VARILLAS,2021,8,2021-08-01,6937,168134,8775.180000000004,40728.835
LAS VARILLAS,2021,9,2021-09-01,8264,176398,5924.909999999996,46653.744999999995
LAS VARILLAS,2021,10,2021-10-01,3628,180026,3075.9749999999985,49729.719999999994
LAS VARILLAS,2021,11,2021-11-01,4730,184756,3185.269999999997,52914.98999999999
LAS VARILLAS,2021,12,2021-12-01,8623,193379,2300.1900000000023,55215.17999999999
LAS VARILLAS,2022,1,2022-01-01,31804,31804,2074.447499999999,2074.447499999999
LAS VARILLAS,2022,2,2022-02-01,3437,35241,1074.1784999999998,3148.6259999999984
LAS VARILLAS,2022,3,2022-03-01,8311,43552,641.1195,3789.745499999998
LAS VARILLAS,2022,4,2022-04-01,11392,54944,1757.8515000000002,5547.596999999998
LAS VARILLAS,2022,5,2022-05-01,7093,62037,1378.6899999999998,6926.2869999999975
LAS VARILLAS,2022,6,2022-06-01,5929,67966,660.9095,7587.196499999997
LAS VARILLAS,2022,7,2022-07-01,6590,74556,3130.8824999999997,10718.078999999998
LAS VARILLAS,2022,8,2022-08-01,6872,81428,3687.857999999999,14405.936999999996
LAS VARILLAS,2022,9,2022-09-01,12043,93471,1410.2389999999991,15816.175999999996
LAS VARILLAS,2022,10,2022-10-01,2976,96447,3363.6005000000005,19179.776499999996
LAS VARILLAS,2022,11,2022-11-01,4895,101342,3013.6705,22193.446999999996
LAS VARILLAS,2022,12,2022-12-01,3341,104683,1611.0985000000005,23804.545499999997
LAS VARILLAS,2023,1,2023-01-01,11871,11871,45.56,45.56
LAS VARILLAS,2023,2,2023-02-01,415,12286,0,45.56
LAS VARILLAS,2023,3,2023-03-01,826,13112,8.25,53.81
LAS VARILLAS,2023,4,2023-04-01,2277,15389,1811.66,1865.47
LAS VARILLAS,2023,5,2023-05-01,7470,22859,1909.8200000000002,3775.29
LAS VARILLAS,2023,6,2023-06-01,8556,31415,4132.9800000000005,7908.27
LAS VARILLAS,2023,7,2023-07-01,14960,46375,6805.82,14714.09
LAS VARILLAS,2023,8,2023-08-01,15009,61384,5574.3099999999995,20288.4
LAS VARILLAS,2023,9,2023-09-01,7391,68775,1089.36,21377.760000000002
LAS VARILLAS,2023,10,2023-10-01,1124,69899,1812.35,23190.11
LAS VARILLAS,2023,11,2023-11-01,5706,75605,4862.41,28052.52
LAS VARILLAS,2023,12,2023-12-01,3080,78685,1436.95,29489.47
